Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-18;Hombre;Latina;Entre 26 y 35 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;7294;Montadores-instaladores de placas de energía solar;7405;Reparadores de bicicletas y afines
ene-18;Mujer;Puente De Vallecas;Entre 56 y 65 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;3613;Asistentes de dirección y administrativos;3510;Agentes y representantes comerciales
ene-18;Mujer;Ciudad Lineal;Entre 26 y 35 años;Española;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;;;;
ene-18;Mujer;Hortaleza;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4412;Recepcionistas (excepto de hoteles);4424;Teleoperadores
ene-18;Hombre;Vicálvaro;Entre 36 y 45 años;Española;7894;Fumigadores y otros controladores de plagas y malas hierbas;;;;
ene-18;Mujer;San Blas;Entre 46 y 55 años;Española;5811;Peluqueros;2931;Artistas de artes plásticas y visuales;;
ene-18;Mujer;Salamanca;Entre 26 y 35 años;Española;2451;Arquitectos (excepto arquitectos paisajistas y urbanistas);;;;
ene-18;Mujer;Usera;Entre 36 y 45 años;Extracomunitaria;7831;Sastres, modistos, peleteros y sombrereros;8153;Operadores de máquinas de coser y bordar;9221;Limpiadores en seco a mano y afines
ene-18;Mujer;Villaverde;Entre 46 y 55 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;5120;Camareros asalariados;9700;Peones de las industrias manufactureras
ene-18;Mujer;Fuencarral-el Pardo;Entre 26 y 35 años;Española;3713;Profesionales de apoyo al trabajo y a la educación social;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio
ene-18;Mujer;Carabanchel;Entre 46 y 55 años;Extracomunitaria;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos
ene-18;Hombre;Puente De Vallecas;Entre 26 y 35 años;Española;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores;9223;Limpiadores de ventanas
ene-18;Hombre;Villaverde;Entre 56 y 65 años;Española;7221;Fontaneros;9811;Peones del transporte de mercancías y descargadores;;
ene-18;Hombre;Carabanchel;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4411;Empleados de información al usuario;4424;Teleoperadores
ene-18;Hombre;Villaverde;Entre 46 y 55 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;5833;Conserjes de edificios;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
